date,location_name,iso2_code,target_group,dose,doses_administered
2023-11-30,Malta,MT,Age70_79,,0
2023-11-30,Netherlands,NL,Age70_79,,619864
2023-11-30,Norway,NO,Age70_79,,118040
2023-11-30,Poland,PL,Age70_79,,2517
2023-11-30,Portugal,PT,Age70_79,,188491
2023-11-30,Romania,RO,Age70_79,,115
2023-11-30,Sweden,SE,Age70_79,,583039
2023-11-30,Slovenia,SI,Age70_79,,4752
2023-11-30,Slovakia,SK,Age70_79,,3942
2023-11-30,Belgium,BE,Age80+,,29587
2023-11-30,Bulgaria,BG,Age80+,,3871
2023-11-30,Cyprus,CY,Age80+,,232
2023-11-30,Czechia,CZ,Age80+,,24476
2023-11-30,Denmark,DK,Age80+,,78693
2023-11-30,Estonia,EE,Age80+,,5636
2023-11-30,Greece,GR,Age80+,,15798
2023-11-30,Spain,ES,Age80+,,583148
2023-11-30,Finland,FI,Age80+,,166830
2023-11-30,France,FR,Age80+,,558992
2023-11-30,Hungary,HU,Age80+,,192
2023-11-30,Ireland,IE,Age80+,,27354
2023-11-30,Iceland,IS,Age80+,,2002
2023-11-30,Italy,IT,Age80+,,277470
2023-11-30,Liechtenstein,LI,Age80+,,136
2023-11-30,Luxembourg,LU,Age80+,,1729
2023-11-30,Malta,MT,Age80+,,0
2023-11-30,Netherlands,NL,Age80+,,152083
2023-11-30,Norway,NO,Age80+,,62028
2023-11-30,Poland,PL,Age80+,,996
2023-11-30,Portugal,PT,Age80+,,115500
2023-11-30,Romania,RO,Age80+,,75
2023-11-30,Sweden,SE,Age80+,,343974
2023-11-30,Slovenia,SI,Age80+,,4111
2023-11-30,Slovakia,SK,Age80+,,1343
2023-11-30,Bulgaria,BG,Age<18,,127
2023-11-30,Spain,ES,Age<18,,9487
2023-11-30,Bulgaria,BG,AgeUNK,,0
2023-11-30,Estonia,EE,AgeUNK,,0
2023-11-30,Greece,GR,AgeUNK,,0
2023-11-30,Spain,ES,AgeUNK,,0
2023-11-30,Finland,FI,AgeUNK,,0
2023-11-30,Hungary,HU,AgeUNK,,0
2023-11-30,Ireland,IE,AgeUNK,,0
2023-11-30,Iceland,IS,AgeUNK,,0
2023-11-30,Liechtenstein,LI,AgeUNK,,0
2023-11-30,Malta,MT,AgeUNK,,0
2023-11-30,Portugal,PT,AgeUNK,,0
2023-11-30,Cyprus,CY,Chronic,,334
2023-11-30,Czechia,CZ,Chronic,,9397
2023-11-30,Greece,GR,Chronic,,0
2023-11-30,Spain,ES,Chronic,,100653
2023-11-30,Ireland,IE,Chronic,,3473
2023-11-30,Iceland,IS,Chronic,,0
2023-11-30,Malta,MT,Chronic,,0
2023-11-30,Portugal,PT,Chronic,,44008
2023-11-30,Belgium,BE,HCW,,13674
2023-11-30,Bulgaria,BG,HCW,,495
2023-11-30,Cyprus,CY,HCW,,13
2023-11-30,Czechia,CZ,HCW,,6875
2023-11-30,Greece,GR,HCW,,3649
2023-11-30,Spain,ES,HCW,,108229
2023-11-30,France,FR,HCW,,23100
2023-11-30,Ireland,IE,HCW,,8782
2023-11-30,Iceland,IS,HCW,,0
2023-11-30,Malta,MT,HCW,,0
2023-11-30,Norway,NO,HCW,,1984
2023-11-30,Portugal,PT,HCW,,21769
2023-11-30,Greece,GR,Pregnant,,0
2023-11-30,Spain,ES,Pregnant,,4253
2023-11-30,Ireland,IE,Pregnant,,3116
2023-11-30,Iceland,IS,Pregnant,,0
2023-11-30,Malta,MT,Pregnant,,0
2023-11-30,Portugal,PT,Pregnant,,1558
