"rep","month","VE_inf","VE_sev"
129,27,0.35683488459273,0.368974223891377
129,28,0.338054459656922,0.349554898555658
129,29,0.319887858567892,0.330770279038372
129,30,0.302358275004601,0.312644348055513
129,31,0.28548223488057,0.295194193723682
129,32,0.269270294484796,0.278430731451401
129,33,0.2537277052842,0.262359391357795
129,34,0.238855041185332,0.24698076687342
129,35,0.22464878560858,0.232291221786434
129,36,0.211101876977113,0.218283454288792
130,0,0.769830383403499,0.781289423789115
130,1,0.769726193630385,0.781183683135646
130,2,0.769054100958941,0.780501586264276
130,3,0.76738947410003,0.778812181185624
130,4,0.76443798787086,0.775816761642536
130,5,0.760011008920087,0.771323886448023
130,6,0.754004785567366,0.765228259562462
130,7,0.746382916383611,0.757492937716051
130,8,0.737161639621767,0.748134400870559
130,9,0.726397544852361,0.737210080940733
130,10,0.71417736013231,0.724807996943587
130,11,0.700609513597574,0.7110381909841
130,12,0.685817208279974,0.696025699989649
130,13,0.669932783878497,0.679904833555429
130,14,0.653093169760505,0.662814559262916
130,15,0.635436260154843,0.64489482391717
130,16,0.617098065791838,0.626283662788583
130,17,0.598210516555786,0.607114969557506
130,18,0.578899807406548,0.587516817614652
130,19,0.5592851952189,0.567610238991213
130,20,0.539478167563902,0.547508380767415
130,21,0.519581916065112,0.527315970589569
130,22,0.499691057023806,0.507129033136741
130,23,0.479891550714849,0.487034808215345
130,24,0.460260778279145,0.467111828796141
130,25,0.440867741629386,0.447430123895609
130,26,0.421773357375138,0.428051516876158
130,27,0.403030820576864,0.409029994614683
130,28,0.384686018258111,0.390412127169937
130,29,0.366777976129947,0.372237521156535
130,30,0.349339324990168,0.354539293086579
130,31,0.332396775820324,0.337344551538572
130,32,0.31597159477624,0.32067487921825
130,33,0.300080071105008,0.304546807840584
130,34,0.284733972569154,0.288972280333004
130,35,0.269940984256955,0.273959096177476
130,36,0.255705127741617,0.259511336808926
131,0,0.772068705080947,0.81304896383966
131,1,0.771960780027004,0.812935310284344
131,2,0.771265222196853,0.8122028332789
131,3,0.769544226626108,0.810390489822472
131,4,0.766495968885058,0.807180435093447
131,5,0.761928635766972,0.802370674725318
131,6,0.755738512801355,0.795851989237727
131,7,0.747891562324299,0.787588534298179
131,8,0.73840799934926,0.777601597902984
131,9,0.727349436922463,0.76595606342724
131,10,0.714808229095481,0.75274918693824
131,11,0.700898689056784,0.738101349198512
131,12,0.685749903177331,0.722148488291622
131,13,0.669499899487591,0.705035958570646
131,14,0.652290962073202,0.6869135963489
131,15,0.634265911635045,0.667931803037689
131,16,0.615565197520178,0.648238482826555
131,17,0.596324668345515,0.627976694974986
131,18,0.576673907305802,0.607282900761005
131,19,0.556735034733247,0.586285702482457
131,20,0.53662189476831,0.565104986957483
131,21,0.516439555382625,0.543851399009412
131,22,0.496284061706269,0.522626081700999
131,23,0.476242391863817,0.501520629826332
131,24,0.456392572502838,0.480617211571404
131,25,0.436803918067697,0.459988820488211
131,26,0.417537363774239,0.439699626143241
131,27,0.39864586730269,0.419805397131636
131,28,0.380174858557248,0.400353974709352
131,29,0.362162720537791,0.381385779188824
131,30,0.344641287516533,0.362934334558095
131,31,0.327636349384092,0.345026799596826
131,32,0.311168153290001,0.327684496143139
131,33,0.295251895608517,0.310923427172238
131,34,0.279898198860844,0.294754779032958
131,35,0.265113569562512,0.279185403596996
131,36,0.250900834076831,0.264218277246824
132,0,0.746569734497283,0.774473139949188
132,1,0.746503770088017,0.774404710088173
132,2,0.746073533819833,0.773958393531067
132,3,0.744994652920583,0.772839188935617
132,4,0.743057310381312,0.770829437280527
132,5,0.740114054745112,0.767776176039264
132,6,0.736069245218022,0.763580189796865
132,7,0.730869935854455,0.758186553727382
132,8,0.7244980244847,0.751576489083742
132,9,0.716963511640359,0.74376037017226
132,10,0.708298732233032,0.73477174043752
132,11,0.698553438366575,0.724662211492357
132,12,0.687790625606673,0.713497133392239
132,13,0.67608300746713,0.701351937353769
132,14,0.663510053956386,0.688309063615447
132,15,0.650155519900996,0.674455397381038
132,16,0.636105397551599,0.659880144903203
132,17,0.621446235794942,0.644673089875256
132,18,0.606263775245015,0.628923177508162
132,19,0.59064185465903,0.612717380073296
132,20,0.57466154960242,0.59613980337462
132,21,0.55840050914509,0.579270998653638
132,22,0.541932460675422,0.562187448895588
132,23,0.525326856728513,0.544961202457704
132,24,0.508648641094262,0.527659630435494
132,25,0.49195811444725,0.510345287270456
132,26,0.475310882366552,0.493075856827119
132,27,0.458757870928464,0.475904168568549
132,28,0.442345397092718,0.458878270573282
132,29,0.426115282894116,0.44204154799493
132,30,0.410105004024089,0.425432877197041
132,31,0.3943478647651,0.409086807225771
132,32,0.378873192447121,0.393033761534251
132,33,0.363706545649151,0.377300253965754
132,34,0.348869931287617,0.361909113955866
132,35,0.334382026532922,0.346879716743282
132,36,0.320258402189519,0.332228215098813
133,0,0.761219472226697,0.775428468361906
133,1,0.761166640563765,0.775374650538055
133,2,0.760820137160051,0.775021679268365
133,3,0.759945789860592,0.77413101131783
133,4,0.758365661372474,0.772521387998852
133,5,0.755949574445625,0.770060202160246
133,6,0.752607686384711,0.766655934094255
133,7,0.748283996605389,0.762251537904225
133,8,0.74295068294311,0.756818672094399
133,9,0.736603173240983,0.750352679163562
133,10,0.729255868496255,0.742868228919368
133,11,0.7209384426336,0.734395549182832
133,12,0.711692651889303,0.724977175616174
133,13,0.701569593916887,0.714665159666651
133,14,0.690627363137168,0.703518680151144
133,15,0.678929054622745,0.691602009880966
133,16,0.666541073990655,0.678982794006812
133,17,0.653531715433757,0.665730601507535
133,18,0.639969974202359,0.651915715505444
133,19,0.625924563599158,0.637608131912377
133,20,0.611463109914478,0.622876739337518
133,21,0.596651501743269,0.607788656258691
133,22,0.581553372824701,0.592408704208583
133,23,0.566229699960598,0.576798998187883
133,24,0.550738499728685,0.561018637717359
133,25,0.535134609636138,0.545123483906385
133,26,0.519469541081261,0.52916600967
133,27,0.503791393027246,0.513195211791283
