country,age_group,target_end_date,year_week,week,year,weekly_rsv_hospitalisations
Greece,total,2026-02-15,2026-W7,7,2026,166
Greece,total,2026-02-22,2026-W8,8,2026,158
Greece,total,2026-03-01,2026-W9,9,2026,135
Greece,total,2026-03-08,2026-W10,10,2026,112
Greece,total,2026-03-15,2026-W11,11,2026,100
Greece,total,2026-03-22,2026-W12,12,2026,83
Greece,total,2026-03-29,2026-W13,13,2026,75
Greece,total,2026-04-05,2026-W14,14,2026,64
Greece,total,2026-04-12,2026-W15,15,2026,53
Greece,total,2026-04-19,2026-W16,16,2026,45
Greece,total,2026-04-26,2026-W17,17,2026,36
Greece,total,2026-05-03,2026-W18,18,2026,33
Hungary,total,2025-09-07,2025-W36,36,2025,9
Hungary,total,2025-09-14,2025-W37,37,2025,11
Hungary,total,2025-09-21,2025-W38,38,2025,16
Hungary,total,2025-09-28,2025-W39,39,2025,27
Hungary,total,2025-10-05,2025-W40,40,2025,41
Hungary,total,2025-10-12,2025-W41,41,2025,68
Hungary,total,2025-10-19,2025-W42,42,2025,105
Hungary,total,2025-10-26,2025-W43,43,2025,165
Hungary,total,2025-11-02,2025-W44,44,2025,226
Hungary,total,2025-11-09,2025-W45,45,2025,313
Hungary,total,2025-11-16,2025-W46,46,2025,413
Hungary,total,2025-11-23,2025-W47,47,2025,488
Hungary,total,2025-11-30,2025-W48,48,2025,570
Hungary,total,2025-12-07,2025-W49,49,2025,582
Hungary,total,2025-12-14,2025-W50,50,2025,601
Hungary,total,2025-12-21,2025-W51,51,2025,562
Hungary,total,2025-12-28,2025-W52,52,2025,506
Hungary,total,2026-01-04,2026-W1,1,2026,442
Hungary,total,2026-01-11,2026-W2,2,2026,341
Hungary,total,2026-01-18,2026-W3,3,2026,264
Hungary,total,2026-01-25,2026-W4,4,2026,240
Hungary,total,2026-02-01,2026-W5,5,2026,208
Hungary,total,2026-02-08,2026-W6,6,2026,181
Hungary,total,2026-02-15,2026-W7,7,2026,159
Hungary,total,2026-02-22,2026-W8,8,2026,151
Hungary,total,2026-03-01,2026-W9,9,2026,131
Hungary,total,2026-03-08,2026-W10,10,2026,107
Hungary,total,2026-03-15,2026-W11,11,2026,97
Hungary,total,2026-03-22,2026-W12,12,2026,81
Hungary,total,2026-03-29,2026-W13,13,2026,73
Hungary,total,2026-04-05,2026-W14,14,2026,59
Hungary,total,2026-04-12,2026-W15,15,2026,51
Hungary,total,2026-04-19,2026-W16,16,2026,45
Hungary,total,2026-04-26,2026-W17,17,2026,35
Hungary,total,2026-05-03,2026-W18,18,2026,32
Ireland,total,2025-09-07,2025-W36,36,2025,5
Ireland,total,2025-09-14,2025-W37,37,2025,6
Ireland,total,2025-09-21,2025-W38,38,2025,8
Ireland,total,2025-09-28,2025-W39,39,2025,15
Ireland,total,2025-10-05,2025-W40,40,2025,22
Ireland,total,2025-10-12,2025-W41,41,2025,40
Ireland,total,2025-10-19,2025-W42,42,2025,63
Ireland,total,2025-10-26,2025-W43,43,2025,100
Ireland,total,2025-11-02,2025-W44,44,2025,138
Ireland,total,2025-11-09,2025-W45,45,2025,192
Ireland,total,2025-11-16,2025-W46,46,2025,257
Ireland,total,2025-11-23,2025-W47,47,2025,305
Ireland,total,2025-11-30,2025-W48,48,2025,355
Ireland,total,2025-12-07,2025-W49,49,2025,360
Ireland,total,2025-12-14,2025-W50,50,2025,375
Ireland,total,2025-12-21,2025-W51,51,2025,349
Ireland,total,2025-12-28,2025-W52,52,2025,313
Ireland,total,2026-01-04,2026-W1,1,2026,273
Ireland,total,2026-01-11,2026-W2,2,2026,211
Ireland,total,2026-01-18,2026-W3,3,2026,164
Ireland,total,2026-01-25,2026-W4,4,2026,149
Ireland,total,2026-02-01,2026-W5,5,2026,128
Ireland,total,2026-02-08,2026-W6,6,2026,109
Ireland,total,2026-02-15,2026-W7,7,2026,99
Ireland,total,2026-02-22,2026-W8,8,2026,93
Ireland,total,2026-03-01,2026-W9,9,2026,80
Ireland,total,2026-03-08,2026-W10,10,2026,67
Ireland,total,2026-03-15,2026-W11,11,2026,59
Ireland,total,2026-03-22,2026-W12,12,2026,47
Ireland,total,2026-03-29,2026-W13,13,2026,44
Ireland,total,2026-04-05,2026-W14,14,2026,36
Ireland,total,2026-04-12,2026-W15,15,2026,30
Ireland,total,2026-04-19,2026-W16,16,2026,26
Ireland,total,2026-04-26,2026-W17,17,2026,22
Ireland,total,2026-05-03,2026-W18,18,2026,20
Italy,total,2025-09-07,2025-W36,36,2025,72
Italy,total,2025-09-14,2025-W37,37,2025,79
Italy,total,2025-09-21,2025-W38,38,2025,105
Italy,total,2025-09-28,2025-W39,39,2025,163
Italy,total,2025-10-05,2025-W40,40,2025,238
Italy,total,2025-10-12,2025-W41,41,2025,391
Italy,total,2025-10-19,2025-W42,42,2025,572
Italy,total,2025-10-26,2025-W43,43,2025,891
Italy,total,2025-11-02,2025-W44,44,2025,1225
Italy,total,2025-11-09,2025-W45,45,2025,1679
Italy,total,2025-11-16,2025-W46,46,2025,2209
Italy,total,2025-11-23,2025-W47,47,2025,2611
Italy,total,2025-11-30,2025-W48,48,2025,3051
Italy,total,2025-12-07,2025-W49,49,2025,3101
Italy,total,2025-12-14,2025-W50,50,2025,3215
Italy,total,2025-12-21,2025-W51,51,2025,2995
