survtype,location_name,iso2_code,yearweek,week_end_date,indicator,age,value
non-sentinel,Austria,AT,2022-W05,2022-02-06,deaths,total,141
non-sentinel,Austria,AT,2022-W04,2022-01-30,deaths,0-4,0
non-sentinel,Austria,AT,2022-W04,2022-01-30,deaths,15-64,12
non-sentinel,Austria,AT,2022-W04,2022-01-30,deaths,5-14,0
non-sentinel,Austria,AT,2022-W04,2022-01-30,deaths,65+,97
non-sentinel,Austria,AT,2022-W04,2022-01-30,deaths,total,109
non-sentinel,Austria,AT,2022-W03,2022-01-23,deaths,0-4,0
non-sentinel,Austria,AT,2022-W03,2022-01-23,deaths,15-64,12
non-sentinel,Austria,AT,2022-W03,2022-01-23,deaths,5-14,0
non-sentinel,Austria,AT,2022-W03,2022-01-23,deaths,65+,68
non-sentinel,Austria,AT,2022-W03,2022-01-23,deaths,total,80
non-sentinel,Austria,AT,2022-W02,2022-01-16,deaths,0-4,0
non-sentinel,Austria,AT,2022-W02,2022-01-16,deaths,15-64,15
non-sentinel,Austria,AT,2022-W02,2022-01-16,deaths,5-14,0
non-sentinel,Austria,AT,2022-W02,2022-01-16,deaths,65+,54
